# eps (GeV/fm^3   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)
  53.9772383172  15.9438719818  169.7114327645   0.0000000000
  54.5168923457  16.1142369978  171.0196836404   0.0000000000
  55.0605481465  16.2859135204  172.3344484708   0.0000000000
  55.6082253186  16.4589080714  173.6557431084   0.0000000000
  56.1599435076  16.6332271885  174.9835834041   0.0000000000
  56.7157224060  16.8088774253  176.3179852070   0.0000000000
  57.2755817532  16.9858653513  177.6589643648   0.0000000000
  57.8395413353  17.1641975518  179.0065367235   0.0000000000
  58.4076209857  17.3438806278  180.3607181274   0.0000000000
  58.9798405843  17.5249211963  181.7215244195   0.0000000000
  59.5562200580  17.7073258902  183.0889714413   0.0000000000
  60.1367793808  17.8911013581  184.4630750328   0.0000000000
  60.7215385734  18.0762542644  185.8438510326   0.0000000000
  61.3105177036  18.2627912896  187.2313152779   0.0000000000
  61.9037368860  18.4507191297  188.6254836048   0.0000000000
  62.5012162823  18.6400444968  190.0263718479   0.0000000000
  63.1029761011  18.8307741186  191.4339958405   0.0000000000
  63.7090365980  19.0229147390  192.8483714148   0.0000000000
  64.3194180755  19.2164731173  194.2695144018   0.0000000000
  64.9341408833  19.4114560288  195.6974406313   0.0000000000
  65.5532254178  19.6078702649  197.1321659320   0.0000000000
  66.1766921226  19.8057226323  198.5737061314   0.0000000000
  66.8045614883  20.0050199540  200.0220770561   0.0000000000
  67.4368540525  20.2057690686  201.4772945314   0.0000000000
  68.0735903998  20.4079768306  202.9393743817   0.0000000000
  68.7147911620  20.6116501101  204.4083324305   0.0000000000
  69.3604770176  20.8167957934  205.8841845001   0.0000000000
  70.0106686925  21.0234207824  207.3669464122   0.0000000000
  70.6653869595  21.2315319948  208.8566339871   0.0000000000
  71.3246526385  21.4411363642  210.3532630446   0.0000000000
  71.9884865963  21.6522408400  211.8568494035   0.0000000000
  72.6569097472  21.8648523874  213.3674088816   0.0000000000
  73.3299430520  22.0789779874  214.8849572960   0.0000000000
  74.0076075191  22.2946246369  216.4095104630   0.0000000000
  74.6899242038  22.5117993485  217.9410841980   0.0000000000
  75.3769142083  22.7305091508  219.4796943156   0.0000000000
  76.0685986823  22.9507610879  221.0253566299   0.0000000000
  76.7649988223  23.1725622200  222.5780869539   0.0000000000
  77.4661358720  23.3959196231  224.1379011001   0.0000000000
  78.1720311223  23.6208403888  225.7048148803   0.0000000000
  78.8827059111  23.8473316246  227.2788441056   0.0000000000
  79.5981816235  24.0754004541  228.8600045862   0.0000000000
  80.3184796917  24.3050540162  230.4483121319   0.0000000000
  81.0436215951  24.5362994660  232.0437825518   0.0000000000
  81.7736288603  24.7691439742  233.6464316545   0.0000000000
  82.5085230607  25.0035947274  235.2562752476   0.0000000000
  83.2483258173  25.2396589281  236.8733291385   0.0000000000
  83.9930587980  25.4773437944  238.4976091338   0.0000000000
  84.7427437179  25.7166565603  240.1291310398   0.0000000000
  85.4974023394  25.9576044757  241.7679106618   0.0000000000
  86.2570564717  26.2001948062  243.4139638049   0.0000000000
  87.0217279716  26.4444348331  245.0673062737   0.0000000000
  87.7914387429  26.6903318538  246.7279538721   0.0000000000
  88.5662107364  26.9378931812  248.3959224034   0.0000000000
  89.3460659505  27.1871261441  250.0712276709   0.0000000000
  90.1310264303  27.4380380874  251.7538854768   0.0000000000
  90.9211142685  27.6906363712  253.4439116232   0.0000000000
  91.7163516047  27.9449283720  255.1413219118   0.0000000000
  92.5167606258  28.2009214817  256.8461321436   0.0000000000
  93.3223635660  28.4586231082  258.5583581193   0.0000000000
  94.1331827066  28.7180406751  260.2780156392   0.0000000000
  94.9492403761  28.9791816219  262.0051205031   0.0000000000
  95.7705589501  29.2420534038  263.7396885104   0.0000000000
  96.5971608517  29.5066634919  265.4817354602   0.0000000000
  97.4290685509  29.7730193730  267.2312771511   0.0000000000
  98.2663045652  30.0411285497  268.9883293814   0.0000000000
  99.1088914591  30.3109985405  270.7529079489   0.0000000000
  99.9568518443  30.5826368797  272.5250286513   0.0000000000
 100.8102083800  30.8560511171  274.3047072857   0.0000000000
 101.6689837723  31.1312488188  276.0919596488   0.0000000000
 102.5332007747  31.4082375663  277.8868015373   0.0000000000
 103.4028821879  31.6870249570  279.6892487472   0.0000000000
 104.2780508599  31.9676186042  281.4993170744   0.0000000000
 105.1587296857  32.2500261368  283.3170223145   0.0000000000
 106.0449416079  32.5342551997  285.1423802626   0.0000000000
 106.9367096161  32.8203134535  286.9754067136   0.0000000000
 107.8340567470  33.1082085745  288.8161174622   0.0000000000
 108.7370060849  33.3979482551  290.6645283027   0.0000000000
 109.6455807611  33.6895402031  292.5206550291   0.0000000000
 110.5598039543  33.9829921424  294.3845134351   0.0000000000
 111.4796988902  34.2783118125  296.2561193144   0.0000000000
 112.4052888421  34.5755069688  298.1354884601   0.0000000000
 113.3365971302  34.8745853824  300.0226366652   0.0000000000
 114.2736471222  35.1755548404  301.9175797225   0.0000000000
 115.2164622330  35.4784231454  303.8203334243   0.0000000000
 116.1650659247  35.7831981160  305.7309135629   0.0000000000
 117.1194817067  36.0898875866  307.6493359304   0.0000000000
 118.0797331357  36.3984994072  309.5756163185   0.0000000000
 119.0458438155  36.7090414439  311.5097705188   0.0000000000
 120.0178373974  37.0215215781  313.4518143225   0.0000000000
 120.9957375798  37.3359477076  315.4017635207   0.0000000000
 121.9795681084  37.6523277456  317.3596339045   0.0000000000
 122.9693527761  37.9706696211  319.3254412643   0.0000000000
 123.9651154233  38.2909812790  321.2992013909   0.0000000000
 124.9668799375  38.6132706801  323.2809300743   0.0000000000
 125.9746702535  38.9375458006  325.2706431047   0.0000000000
 126.9885103532  39.2638146330  327.2683562721   0.0000000000
 128.0084242662  39.5920851852  329.2740853661   0.0000000000
 129.0344360689  39.9223654810  331.2878461762   0.0000000000
 130.0665698854  40.2546635600  333.3096544919   0.0000000000
 131.1048498867  40.5889874777  335.3395261023   0.0000000000
 132.1493002914  40.9253453052  337.3774767965   0.0000000000
 133.1999453651  41.2637451296  339.4235223632   0.0000000000
 134.2568094209  41.6041950535  341.4776785912   0.0000000000
 135.3199168192  41.9467031956  343.5399612689   0.0000000000
 136.3892919674  42.2912776901  345.6103861848   0.0000000000
 137.4649593206  42.6379266873  347.6889691271   0.0000000000
 138.5469433807  42.9866583530  349.7757258839   0.0000000000
 139.6352686974  43.3374808689  351.8706722430   0.0000000000
 140.7299598673  43.6904024326  353.9738239922   0.0000000000
 141.8310415345  44.0454312573  356.0851969192   0.0000000000
 142.9385383903  44.4025755721  358.2048068115   0.0000000000
 144.0524751733  44.7618436219  360.3326694564   0.0000000000
 145.1728766694  45.1232436672  362.4688006412   0.0000000000
