# eps (GeV/fm^3   P (GeV/fm^3)      s (fm^-3)    n_b (fm^-3)
  76.7202061169  23.1121304681  222.3437340424   0.0000000000
  77.4213073554  23.3352534781  223.9034685188   0.0000000000
  78.1271684402  23.5599397730  225.4703064593   0.0000000000
  78.8378107160  23.7861964641  227.0442636729   0.0000000000
  79.5532555748  24.0140306787  228.6253559680   0.0000000000
  80.2735244556  24.2434495597  230.2135991527   0.0000000000
  80.9986388448  24.4744602659  231.8090090344   0.0000000000
  81.7286202757  24.7070699719  233.4116014202   0.0000000000
  82.4634903291  24.9412858682  235.0213921166   0.0000000000
  83.2032706330  25.1771151609  236.6383969297   0.0000000000
  83.9479828624  25.4145650720  238.2626316653   0.0000000000
  84.6976487397  25.6536428394  239.8941121284   0.0000000000
  85.4522900344  25.8943557168  241.5328541241   0.0000000000
  86.2119285635  26.1367109735  243.1788734566   0.0000000000
  86.9765861909  26.3807158947  244.8321859300   0.0000000000
  87.7462848278  26.6263777816  246.4928073480   0.0000000000
  88.5210464329  26.8737039510  248.1607535138   0.0000000000
  89.3008930118  27.1227017355  249.8360402302   0.0000000000
  90.0858466175  27.3733784836  251.5186832999   0.0000000000
  90.8759293502  27.6257415595  253.2086985250   0.0000000000
  91.6711633575  27.8797983433  254.9061017074   0.0000000000
  92.4715708340  28.1355562308  256.6109086486   0.0000000000
  93.2771740218  28.3930226338  258.3231351498   0.0000000000
  94.0879952100  28.6522049796  260.0427970118   0.0000000000
  94.9040567352  28.9131107115  261.7699100353   0.0000000000
  95.7253809811  29.1757472886  263.5044900206   0.0000000000
  96.5519903788  29.4401221858  265.2465527676   0.0000000000
  97.3839074065  29.7062428937  266.9961140760   0.0000000000
  98.2211545898  29.9741169188  268.7531897453   0.0000000000
  99.0637545014  30.2437517832  270.5177955746   0.0000000000
  99.9117297616  30.5151550252  272.2899473629   0.0000000000
 100.7651030376  30.7883341986  274.0696609087   0.0000000000
 101.6238970442  31.0632968729  275.8569520106   0.0000000000
 102.4881345432  31.3400506337  277.6518364665   0.0000000000
 103.3578383438  31.6186030822  279.4543300745   0.0000000000
 104.2330313025  31.8989618355  281.2644486321   0.0000000000
 105.1137363230  32.1811345264  283.0822079370   0.0000000000
 105.9999763566  32.4651288035  284.9076237862   0.0000000000
 106.8917744013  32.7509523314  286.7407119769   0.0000000000
 107.7891535030  33.0386127902  288.5814883058   0.0000000000
 108.6921367545  33.3281178760  290.4299685695   0.0000000000
 109.6007472960  33.6194753006  292.2861685644   0.0000000000
 110.5150083150  33.9126927916  294.1501040868   0.0000000000
 111.4349430463  34.2077780925  296.0217909327   0.0000000000
 112.3605747721  34.5047389625  297.9012448978   0.0000000000
 113.2919268217  34.8035831766  299.7884817779   0.0000000000
 114.2290225717  35.1043185257  301.6835173685   0.0000000000
 115.1718854463  35.4069528162  303.5863674647   0.0000000000
 116.1205389166  35.7114938707  305.4970478618   0.0000000000
 117.0750065013  36.0179495273  307.4155743547   0.0000000000
 118.0353117664  36.3263276400  309.3419627383   0.0000000000
 119.0014783249  36.6366360787  311.2762288071   0.0000000000
 119.9735298374  36.9488827288  313.2183883557   0.0000000000
 120.9514900118  37.2630754918  315.1684571785   0.0000000000
 121.9353826032  37.5792222849  317.1264510696   0.0000000000
 122.9252314139  37.8973310409  319.0923858231   0.0000000000
 123.9210602939  38.2174097087  321.0662772330   0.0000000000
 124.9228931402  38.5394662529  323.0481410929   0.0000000000
 125.9307538970  38.8635086537  325.0379931966   0.0000000000
 126.9446665563  39.1895449073  327.0358493376   0.0000000000
 127.9646551568  39.5175830256  329.0417253093   0.0000000000
 128.9907437851  39.8476310364  331.0556369050   0.0000000000
 130.0229565748  40.1796969832  333.0775999178   0.0000000000
 131.0613177067  40.5137889253  335.1076301407   0.0000000000
 132.1058514093  40.8499149378  337.1457433668   0.0000000000
 133.1565819581  41.1880831117  339.1919553887   0.0000000000
 134.2135336761  41.5283015535  341.2462819992   0.0000000000
 135.2767309335  41.8705783858  343.3087389910   0.0000000000
 136.3461981480  42.2149217469  345.3793421563   0.0000000000
 137.4219597843  42.5613397908  347.4581072878   0.0000000000
 138.5040403548  42.9098406873  349.5450501776   0.0000000000
 139.5924644190  43.2604326223  351.6401866179   0.0000000000
 140.6872565838  43.6131237970  353.7435324009   0.0000000000
 141.7884415034  43.9679224288  355.8551033185   0.0000000000
 142.8960438794  44.3248367506  357.9749151626   0.0000000000
 144.0100884606  44.6838750114  360.1029837251   0.0000000000
 145.1306000432  45.0450454756  362.2393247977   0.0000000000
